Ticket_ID,Source_System,Email_Received_Date,Sender,Subject,Email_Body,Priority,Status,Category,Assigned_Team,SLA_Due_Date,Closed_Date
INC1000001,ServiceNow,2026-01-14,servicenow@company.com,INC1000001 | High | Access Issue | Open - Permission Issue,Ticket ID: INC1000001 | Priority: High | Status: Open | Assigned Team: Vendor Support | Issue: permission issue | Category: Access Issue | Created Date: 2026-01-14 | SLA Due Date: 2026-01-16,High,Open,Access Issue,Data Support,2026-01-16,
FG1000002,Fieldglass,2026-03-19,fieldglass@company.com,FG1000002 | High | Access Issue | In Progress - Access Denied,Ticket ID: FG1000002 | Priority: High | Status: In Progress | Assigned Team: Reporting Team | Issue: access denied | Category: Access Issue | Created Date: 2026-03-19 | SLA Due Date: 2026-03-21,High,In Progress,Access Issue,Vendor Support,2026-03-21,
FG1000003,Fieldglass,2026-01-01,fieldglass@company.com,FG1000003 | Medium | Data Quality Issue | Closed - Broken Reference,Ticket ID: FG1000003 | Priority: Medium | Status: Closed | Assigned Team: Access Management | Issue: broken reference | Category: Data Quality Issue | Created Date: 2026-01-01 | SLA Due Date: 2026-01-05,Medium,Closed,Data Quality Issue,Reporting Team,2026-01-05,2026-01-07
INC1000004,ServiceNow,2026-04-19,servicenow@company.com,INC1000004 | High | Reporting Issue | Open - Dashboard Mismatch,Ticket ID: INC1000004 | Priority: High | Status: Open | Assigned Team: Access Management | Issue: dashboard mismatch | Category: Reporting Issue | Created Date: 2026-04-19 | SLA Due Date: 2026-04-21,High,Open,Reporting Issue,Data Support,2026-04-21,
FG1000005,Fieldglass,2026-03-12,fieldglass@company.com,FG1000005 | Low | Process Delay | In Progress - Sla Delay,Ticket ID: FG1000005 | Priority: Low | Status: In Progress | Assigned Team: Vendor Support | Issue: SLA delay | Category: Process Delay | Created Date: 2026-03-12 | SLA Due Date: 2026-03-19,Low,In Progress,Process Delay,Access Management,2026-03-19,
INC1000006,ServiceNow,2026-01-11,servicenow@company.com,INC1000006 | Medium | Access Issue | Closed - Access Denied,Ticket ID: INC1000006 | Priority: Medium | Status: Closed | Assigned Team: Access Management | Issue: access denied | Category: Access Issue | Created Date: 2026-01-11 | SLA Due Date: 2026-01-15,Medium,Closed,Access Issue,Application Support,2026-01-15,2026-01-12
FG1000007,Fieldglass,2026-03-31,fieldglass@company.com,FG1000007 | Medium | Data Quality Issue | Resolved - Invalid Trade Id,Ticket ID: FG1000007 | Priority: Medium | Status: Resolved | Assigned Team: Reporting Team | Issue: invalid trade id | Category: Data Quality Issue | Created Date: 2026-03-31 | SLA Due Date: 2026-04-04,Medium,Resolved,Data Quality Issue,Vendor Support,2026-04-04,2026-04-02
INC1000008,ServiceNow,2026-03-23,servicenow@company.com,INC1000008 | Medium | Data Quality Issue | Closed - Broken Reference,Ticket ID: INC1000008 | Priority: Medium | Status: Closed | Assigned Team: Data Support | Issue: broken reference | Category: Data Quality Issue | Created Date: 2026-03-23 | SLA Due Date: 2026-03-27,Medium,Closed,Data Quality Issue,Reporting Team,2026-03-27,2026-03-27
INC1000009,ServiceNow,2026-05-01,servicenow@company.com,INC1000009 | High | Reporting Issue | Open - Power Bi Error,Ticket ID: INC1000009 | Priority: High | Status: Open | Assigned Team: Access Management | Issue: Power BI error | Category: Reporting Issue | Created Date: 2026-05-01 | SLA Due Date: 2026-05-03,High,Open,Reporting Issue,Reporting Team,2026-05-03,
FG1000010,Fieldglass,2026-04-06,fieldglass@company.com,FG1000010 | High | System Error | Open - Interface Failure,Ticket ID: FG1000010 | Priority: High | Status: Open | Assigned Team: Access Management | Issue: interface failure | Category: System Error | Created Date: 2026-04-06 | SLA Due Date: 2026-04-08,High,Open,System Error,Vendor Support,2026-04-08,
FG1000011,Fieldglass,2026-01-18,fieldglass@company.com,FG1000011 | Medium | Process Delay | Closed - Vendor Delay,Ticket ID: FG1000011 | Priority: Medium | Status: Closed | Assigned Team: Data Support | Issue: vendor delay | Category: Process Delay | Created Date: 2026-01-18 | SLA Due Date: 2026-01-22,Medium,Closed,Process Delay,Reporting Team,2026-01-22,2026-01-19
